"","year","ward","cost","category","program","description"
"2197",2013,4,10924,"Streets & Transportation","Alley Resurfacing Menu","S DREXEL BLVD & S COTTAGE GROVE AVE&E 40TH ST & S ELLIS AVE"
"2198",2013,4,700,"Streets & Transportation","Alley Speed Hump Menu","E 47TH ST & S EVANS AVE&E 48TH ST & S LANGLEY AVE"
"2199",2013,4,2800,"Streets & Transportation","Alley Speed Hump Menu","S LANGLEY AVE & S EVANS AVE & E 47TH ST & E 48TH ST"
"2200",2013,4,26843,"Streets & Transportation","Curb & Gutter Menu","ON S GREENWOOD AVE FROM E 44TH ST (4400 S) TO E 45TH ST (4500 S)"
"2201",2013,4,93926,"Streets & Transportation","Curb & Gutter Menu","ON E 52ND ST FROM S COTTAGE GROVE AVE (800 E) TO S DREXEL AVE (900 E)"
"2202",2013,4,48688,"Streets & Transportation","Curb & Gutter Menu","ON E 40TH ST FROM S ELLIS AVE (900 E) TO S LAKE PARK AVE (950 E)"
"2203",2013,4,36437,"Streets & Transportation","Curb & Gutter Menu","ON S DREXEL AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)"
"2204",2013,4,13251,"Streets & Transportation","Curb & Gutter Menu","ON S EAST END AVE FROM E 50TH ST (5000 S) TO E HYDE PARK BLVD (5100 S)"
"2205",2013,4,10416,"Streets & Transportation","Curb & Gutter Menu","ON E 44TH ST FROM S DREXEL BLVD (900 E) TO S ELLIS AVE (1000 E)"
"2206",2013,4,64687,"Streets & Transportation","Curb & Gutter Menu","ON S DORCHESTER AVE FROM E 50TH ST (5000 S) TO E HYDE PARK BLVD (5100 S)"
"2207",2013,4,25647,"Streets & Transportation","Curb & Gutter Menu","ON E PERSHING RD FROM S ELLIS AV (839 E) TO S ELLIS AV (839 E)"
"2208",2013,4,9871,"Streets & Transportation","Curb & Gutter Menu","ON E 47TH ST FROM S ELLIS AV (1000 E) TO S GREENWOOD AV (1100 E)"
"2209",2013,4,550,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","E 53RD ST & S KENWOOD AVE"
"2210",2013,4,0,"Streets & Transportation","Resurfacing Alley Speed","E 42ND PL & S DREXEL BLVD&E 43RD ST & S ELLIS AVE"
"2211",2013,4,34935,"Streets & Transportation","Sidewalk Menu","ON E 40TH ST FROM S ELLIS AV (923 E) TO S LAKE PARK AV (994 E)"
"2212",2013,4,3238,"Streets & Transportation","Sidewalk Menu","ON E 50TH ST FROM S CORNELL AV (1620 E) TO S EAST END AV (1650 E)"
"2213",2013,4,90316,"Streets & Transportation","Sidewalk Menu","ON E 41ST ST FROM S LANGLEY AVE (700 E) TO S COTTAGE GROVE AVE (800 E)"
"2214",2013,4,530,"Streets & Transportation","Sidewalk Menu","ON S EVANS AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)"
"2215",2013,4,17808,"Streets & Transportation","Sidewalk Menu","ON S VINCENNES AVE FROM E 42 ST (4200 S) TO E 42 PL (4232 S)"
"2216",2013,4,52515,"Streets & Transportation","Sidewalk Menu","ON E 44TH ST FROM S GREENWOOD AVE (1100 E) TO S LAKE PARK AVE (1200 E)"
"2217",2013,4,26433,"Streets & Transportation","Sidewalk Menu","ON E 46TH ST FROM S EVANS AVE (720 E) TO S COTTAGE GROVE AVE (800 E)"
"2218",2013,4,738,"Streets & Transportation","Sidewalk Menu","ON S DREXEL AVE FROM E BOWEN AVE (4140 S) TO E 42ND PL (4198 S)"
"2219",2013,4,9308,"Streets & Transportation","Sidewalk Menu","ON S LANGLEY AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S)"
"2220",2013,4,28822,"Streets & Transportation","Sidewalk Menu","ON S KIMBARK AVE FROM E 52 ST (5150 S) TO Dead End (5189 S)"
"2221",2013,4,12506,"Streets & Transportation","Sidewalk Menu","ON S WOODLAWN AVE FROM E HYDE PARK BV (5100 S) TO E 52 ST (5150 S)"
"2222",2013,4,35146,"Streets & Transportation","Sidewalk Menu","ON S GREENWOOD AVE FROM E 46 ST (4600 S) TO E 47 ST (4700 S)"
"2223",2013,4,27948,"Streets & Transportation","Sidewalk Menu","ON S ELLIS AVE FROM E 42ND PL (4232 S) TO E 43RD ST (4300 S)"
"2224",2013,4,5549,"Streets & Transportation","Sidewalk Menu","ON S CLARK ST FROM W POLK ST (800 S) TO W 9TH ST (900 S)"
"2225",2013,4,23674,"Streets & Transportation","Sidewalk Menu","ON S BLACKSTONE AVE FROM E 52 ST (5150 S) TO E 53 ST (5242 S)"
"2226",2013,4,4512,"Streets & Transportation","Sidewalk Menu","ON S DREXEL AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)"
"2227",2013,4,9017,"Streets & Transportation","Sidewalk Menu","ON S DREXEL AVE FROM E 49 ST (4900 S) TO E 50 ST (5000 S)"
"2228",2013,4,1964,"Streets & Transportation","Sidewalk Menu","ON S GREENWOOD AVE FROM E 47TH ST (4700 S) TO E 48TH ST (4800 S)"
"2229",2013,4,27239,"Streets & Transportation","Sidewalk Menu","ON S DREXEL BLVD FROM E 40 ST (4020 S) TO E 41 ST (4114 S)"
"2230",2013,4,3038,"Streets & Transportation","Sidewalk Menu","ON E 41ST ST FROM S COTTAGE GROVE AVE (800 E) TO S DREXEL BLVD (900 E)"
"2231",2013,4,2826,"Streets & Transportation","Sidewalk Menu","ON S VINCENNES AVE FROM E 40 ST (4028 S) TO E 41 ST (4100 S)"
"2232",2013,4,24065,"Streets & Transportation","Sidewalk Menu","ON S DORCHESTER AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)"
"2233",2013,4,11686,"Streets & Transportation","Sidewalk Menu","ON S KENWOOD AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)"
"2234",2013,4,13905,"Streets & Transportation","Sidewalk Menu","ON S ELLIS AVE FROM E 42 PL (4228 S) TO E 43 ST (4300 S)"
"2235",2013,4,27954,"Streets & Transportation","Sidewalk Menu","ON S UNIVERSITY AVE FROM E 44 ST (4420 S) TO E 45 ST (4500 S)"
"2236",2013,4,31352,"Streets & Transportation","Sidewalk Menu","ON S ST LAWRENCE AVE FROM E BOWEN AV (4135 S) TO E 42 ST (4200 S)"
"2237",2013,4,10087,"Streets & Transportation","Sidewalk Menu","ON S DREXEL AVE FROM E 45 ST (4500 S) TO E 46 ST (4600 S)"
"2238",2013,4,4853,"Streets & Transportation","Street Resurfacing Menu","ON E 35TH ST FROM S RHODES AVE (530 E) TO S COTTAGE GROVE AVE (600 E)"
"2239",2013,4,3569,"Streets & Transportation","Street Resurfacing Menu","ON S HARPER AVE FROM E HYDE PARK BLVD (5100 S) TO E 52ND ST (5200 S)"
"2240",2013,4,22647,"Streets & Transportation","Street Resurfacing Menu","ON E 40TH ST FROM S ELLIS AVE (900 E) TO S LAKE PARK AVE (950 E)"
"2241",2013,4,20912,"Streets & Transportation","Street Resurfacing Menu","ON S EVANS AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)"
"2242",2013,4,72000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON E 41ST ST FROM S LANGLEY AV (650 E) TO S ST LAWRENCE AV (600 E)"
"2243",2013,4,144000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON E OAKWOOD BLVD FROM S LANGLEY AV (650 E) TO S VINCENNES AV (544 E)"
"2244",2013,4,1750,"Lighting","Street Light Upgrade","ON S ELLIS AVE FROM E 44 ST (4400 S) TO E 45 ST (4500 S)"
"2245",2013,4,1050,"Lighting","Street Light Upgrade","ON S BLACKSTONE AVE FROM E 52ND ST (5200 S) TO E 53RD ST (5300 S)"
"2246",2013,4,1750,"Lighting","Street Light Upgrade","ON S ELLIS AVE FROM E HYDE PARK BV (5100 S) TO E 52 ST (5150 S)"
"2247",2013,4,3150,"Lighting","Street Light Upgrade","ON S ST LAWRENCE AVE FROM E 48 ST (4800 S) TO E 50 ST (5000 S)"
"2248",2013,4,700,"Lighting","Street Light Upgrade","ON E 52ND ST FROM S BLACKSTONE AVE (1440 E) TO S DORCHESTER AVE (1400 E)"
"2249",2013,5,28526,"Streets & Transportation","Alley Resurfacing Menu","S CORNELL AVE & E 55TH ST&S LAKE PARK AVE & E 54TH ST"
"2250",2013,5,885,"Streets & Transportation","Bollard Menu","ON S JEFFERY AVE FROM 6758 S TO E 67TH ST (6700 S)"
"2251",2013,5,3300,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","E MIDWAY PLAISANCE & S ELLIS AVE"
"2252",2013,5,550,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","S UNIVERSITY AVE & E 55TH ST"
"2253",2013,5,550,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","E 55TH ST & S HARPER AVE"
"2254",2013,5,1100,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","E 55TH ST & S UNIVERSITY AVE"
"2255",2013,5,950,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","E 55TH ST & S KIMBARK AVE"
"2256",2013,5,950,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","S KENWOOD AVE & E 55TH ST"
"2257",2013,5,13602,"Miscellaneous","Miscellaneous Other","ON E 68TH ST FROM S STONY ISLAND AVE (1560 E) TO S CREGIER AVE (1800 E)"
"2258",2013,5,0,"Streets & Transportation","Resurfacing Street Speed","ON S CRANDON AVE FROM E 70TH ST (7000 S) TO E 71ST ST (7100 S)"
"2259",2013,5,5670,"Streets & Transportation","Sidewalk Menu","ON S PAXTON AVE FROM E 70 PL (7032 S) TO E 71 ST (7100 S)"
"2260",2013,5,12807,"Streets & Transportation","Sidewalk Menu","ON S WOODLAWN AVE FROM E 57TH ST (5700 S) TO E 58TH ST (5800 S)"
"2261",2013,5,4162,"Streets & Transportation","Sidewalk Menu","ON E 53RD ST FROM S WOODLAWN AV (1200 E) TO S KIMBARK AV (1242 E)"
"2262",2013,5,8149,"Streets & Transportation","Sidewalk Menu","ON S CRANDON AVE FROM E 70 PL (7032 S) TO E 72 ST (7200 S)"
"2263",2013,5,19377,"Streets & Transportation","Sidewalk Menu","ON E 58TH ST FROM S KENWOOD AVE (1350 E) TO S KIMBARK AVE (1300 E)"
"2264",2013,5,6509,"Streets & Transportation","Sidewalk Menu","ON E 58TH ST FROM S WOODLAWN AVE (1200 E) TO S KIMBARK AVE (1300 E)"
"2265",2013,5,33794,"Streets & Transportation","Street Resurfacing Menu","ON S CRANDON AVE FROM E 70TH ST (7000 S) TO E 70TH PL (7030 S)"
"2266",2013,5,33427,"Streets & Transportation","Street Resurfacing Menu","ON S PAXTON AVE FROM E 73RD ST (7300 S) TO E 74TH ST (7400 S)"
"2267",2013,5,40898,"Streets & Transportation","Street Resurfacing Menu","ON S OGLESBY AVE FROM E 70TH ST (7000 S) TO E 71ST ST (7060 S)"
"2268",2013,5,197941,"Streets & Transportation","Street Resurfacing Menu","ON S UNIVERSITY AVE FROM E 55TH ST (5500 S) TO E 59TH ST (5900 S)"
"2269",2013,5,72000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S INGLESIDE AVE FROM E 71ST ST (7100 S) TO E 72ND ST (7200 S)"
"2270",2013,5,370000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON E 71ST ST FROM S COTTAGE GROVE AVE (799 E) TO S KIMBARK AVE (1240 E)"
"2271",2013,5,200000,"Plants, Gardens, & Sustainability","Miscellaneous Other","7100 S CRANDON AVE Garden, Environmental testing, Fencing -"
"2272",2013,5,515,"Miscellaneous","Miscellaneous Other","7030 S EUCLID AVE"
"2273",2013,5,200000,"Beautification","Miscellaneous Other","6700 S DORCHESTER AVE Community Mural"
"2274",2013,6,7866,"Streets & Transportation","Pavement Markings","E 83RD ST & S STATE ST"
"2275",2013,6,69487,"Streets & Transportation","Street Resurfacing Menu","ON S WABASH AVE FROM E 84 ST (8400 S) TO E 85 ST (8500 S)"
"2276",2013,6,24380,"Streets & Transportation","Street Resurfacing Menu","ON E 83RD ST FROM S VERNON AVE (430 E) TO S EBERHART AVE (500 E)"
"2277",2013,6,156466,"Streets & Transportation","Street Resurfacing Menu","ON S CHAMPLAIN AVE FROM E 80 ST (8000 S) TO E 82 ST (8200 S)"
"2278",2013,6,54964,"Streets & Transportation","Street Resurfacing Menu","ON S MICHIGAN AVE FROM E 84 ST (8400 S) TO E 85 ST (8500 S)"
"2279",2013,6,137061,"Streets & Transportation","Street Resurfacing Menu","ON S WABASH AVE FROM E 73 ST (7300 S) TO E 75 ST (7500 S)"
"2280",2013,6,293776,"Streets & Transportation","Street Resurfacing Menu","ON E 83RD ST FROM S STATE ST (0 E) TO S VERNON AVE (430 E)"
"2281",2013,6,575999,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S INDIANA AVE FROM E 75 ST (7500 S) TO E 83 ST (8300 S)"
"2282",2013,7,7585,"Streets & Transportation","Curb & Gutter Menu","ON S KINGSTON AVE FROM E 79TH ST (7900 S) TO E 81ST ST (8100 S)"
"2283",2013,7,98832,"Streets & Transportation","Curb & Gutter Menu","ON S CLYDE AVE FROM E 92 ST (9200 S) TO E 93 ST (9300 S)"
"2284",2013,7,42894,"Streets & Transportation","Curb & Gutter Menu","ON E 91ST ST FROM S YATES BV (2400 E) TO S PHILLIPS AV (2432 E)"
"2285",2013,7,550,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","E 93RD ST & S OGLESBY AVE"
"2286",2013,7,550,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","E 93RD ST & S OGLESBY AVE"
"2287",2013,7,352,"Streets & Transportation","Sidewalk Menu","ON S CRANDON AVE FROM E 100TH ST (10000 S) TO E 101ST ST (10100 S)"
"2288",2013,7,9775,"Streets & Transportation","Sidewalk Menu","ON S CLYDE AVE FROM E 92ND ST (9200 S) TO E 93RD ST (9300 S)"
"2289",2013,7,21334,"Streets & Transportation","Sidewalk Menu","ON E 87TH ST FROM S PHILLIPS AVE (2430 E) TO S ESSEX AVE (2500 E)"
"2290",2013,7,1991,"Streets & Transportation","Sidewalk Menu","ON S EXCHANGE AVE FROM E 79 ST (7900 S) TO E 80 ST (8000 S)"
"2291",2013,7,2466,"Streets & Transportation","Sidewalk Menu","ON S KINGSTON AVE FROM E 79 ST (7900 S) TO E 79 ST (7900 S)"
"2292",2013,7,27429,"Streets & Transportation","Sidewalk Menu","ON S COLFAX AVE FROM E 87 ST (8700 S) TO E 88 ST (8800 S)"
"2293",2013,7,2453,"Streets & Transportation","Sidewalk Menu","ON S KINGSTON AVE FROM E 91ST ST (9100 S) TO E 92ND ST (9200 S)"
"2294",2013,7,5153,"Streets & Transportation","Sidewalk Menu","ON E 96TH ST FROM S CLYDE AV (2130 E) TO S LUELLA AV (2237 E)"
"2295",2013,7,14808,"Streets & Transportation","Street Resurfacing Menu","ON E 80TH PL FROM S EXCHANGE AVE (2930 E) TO S COMMERCIAL CT (3000 E)"
"2296",2013,7,183657,"Streets & Transportation","Street Resurfacing Menu","ON E 81ST ST FROM S YATES BV (2400 E) TO S COLFAX AV (2600 E)"
"2297",2013,7,47871,"Streets & Transportation","Street Resurfacing Menu","ON S COLFAX AVE FROM E 79 ST (7900 S) TO E 80 ST (8000 S)"
"2298",2013,7,34944,"Streets & Transportation","Street Resurfacing Menu","ON S PAXTON AVE FROM E 94TH ST (9400 S) TO E 95TH ST (9500 S)"
"2299",2013,7,51673,"Streets & Transportation","Street Resurfacing Menu","ON S SAGINAW AVE FROM E 79 ST (7900 S) TO E 80 ST (8000 S)"
"2300",2013,7,60118,"Streets & Transportation","Street Resurfacing Menu","ON S ESSEX AVE FROM E 83 ST (8300 S) TO E 85 ST (8500 S)"
"2301",2013,7,65709,"Streets & Transportation","Street Resurfacing Menu","ON S MANISTEE AVE FROM E 81 ST (8100 S) TO E 82 ST (8200 S)"
"2302",2013,7,86803,"Streets & Transportation","Street Resurfacing Menu","ON S VAN VLISSINGEN RD FROM E 101 ST (10100 S) TO E 102 ST (10200 S)"
"2303",2013,7,15540,"Streets & Transportation","Street Resurfacing Menu","ON E 78TH ST FROM S LUELLA AV (2232 E) TO S CRANDON AV (2300 E)"
"2304",2013,7,47569,"Streets & Transportation","Street Resurfacing Menu","ON S PHILLIPS AVE FROM E 81 ST (8100 S) TO Dead End (8124 S)"
"2305",2013,7,74817,"Streets & Transportation","Street Resurfacing Menu","ON S OGLESBY AVE FROM E 90 ST (9000 S) TO E 91 ST (9100 S)"
"2306",2013,7,82924,"Streets & Transportation","Street Resurfacing Menu","ON S YATES BLVD FROM E 89 ST (8900 S) TO E 90 ST (9000 S)"
"2307",2013,7,3700,"Streets & Transportation","Street Speed Hump Menu","ON S MANISTEE AVE FROM E 79TH ST (7900 S) TO E 80TH ST (8000 S)"
"2308",2013,7,128000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S VAN VLISSINGEN RD FROM E 96 ST (9600 S) TO E 98 ST (9800 S)"
"2309",2013,7,64000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S KINGSTON AVE FROM E 93 ST (9300 S) TO E 94 ST (9400 S)"
"2310",2013,7,72000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON E 73RD ST FROM S EXCHANGE (W) AV(2533 E) TO S YATES BV (2400 E)"
"2311",2013,7,64000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S COLFAX AVE FROM E 93 ST (9300 S) TO E 94 ST (9400 S)"
"2312",2013,8,13830,"Streets & Transportation","Alley Resurfacing Menu","78th/79th/Ridgeland/Creiger"
"2313",2013,8,19081,"Streets & Transportation","Alley Resurfacing Menu","S RIDGELAND AVE & E 75TH ST&S CREGIER AVE & E 76TH ST"
"2314",2013,8,2240,"Streets & Transportation","Curb & Gutter Menu","ON E 89TH ST FROM S COTTAGE GROVE AV (800 E) TO S LANGLEY AV (700 E)"
"2315",2013,8,27969,"Streets & Transportation","Curb & Gutter Menu","ON E 80TH ST FROM S CONSTANCE AV (1826 E) TO S BENNETT AV (1900 E)"
"2316",2013,8,9390,"Streets & Transportation","Curb & Gutter Menu","ON E 80TH ST FROM S BENNETT AV (1900 E) TO S EUCLID AV (1932 E)"
"2317",2013,8,1357,"Streets & Transportation","Curb & Gutter Menu","ON S BLACKSTONE AVE FROM E 81 ST (8100 S) TO E 82 ST (8200 S)"
"2318",2013,8,29748,"Streets & Transportation","Curb & Gutter Menu","ON E 80TH ST FROM S BENNETT AVE (1900 E) TO S CONSTANCE AVE (1840 E)"
"2319",2013,8,0,"Streets & Transportation","Resurfacing Street Speed","ON S BLACKSTONE AVE FROM E 88 ST (8800 S) TO E 89 ST (8900 S)"
"2320",2013,8,0,"Streets & Transportation","Resurfacing Street Speed","ON S WOODLAWN AVE FROM E 96 ST (9600 S) TO E 97 (N) ST(9656 S)"
"2321",2013,8,0,"Streets & Transportation","Resurfacing Street Speed","ON S EAST END AVE FROM E 77 ST (7700 S) TO E 78 ST (7800 S)"
"2322",2013,8,1893,"Streets & Transportation","Sidewalk Menu","ON E 86TH ST FROM S STONY ISLAND AV (1600 E) TO S EAST END AV (1700 E)"
"2323",2013,8,2394,"Streets & Transportation","Sidewalk Menu","ON E 80TH ST FROM S CONSTANCE AVE (1840 E) TO S BENNETT AVE (1900 E)"
"2324",2013,8,4703,"Streets & Transportation","Sidewalk Menu","ON E 86TH ST FROM S EUCLID AV (1932 E) TO S JEFFERY BV (2000 E)"
"2325",2013,8,47397,"Streets & Transportation","Sidewalk Menu","ON S OGLESBY AVE FROM E 83 ST (8300 S) TO E 84 ST (8400 S)"
"2326",2013,8,1851,"Streets & Transportation","Sidewalk Menu","ON E 90TH ST FROM S DANTE AVE (1430 E) TO S BLACKSTONE AVE (1500 E)"
"2327",2013,8,5408,"Streets & Transportation","Sidewalk Menu","ON E 85TH ST FROM S BLACKSTONE AVE (1500 E) TO S STONY ISLAND AVE (1600 E)"
"2328",2013,8,20971,"Streets & Transportation","Sidewalk Menu","ON S RIDGELAND AVE FROM E 75TH ST (7500 S) TO E 76TH ST (7600 S)"
"2329",2013,8,31573,"Streets & Transportation","Sidewalk Menu","ON S CHAPPEL AVE FROM E 80 ST (8000 S) TO E 81 ST (8100 S)"
"2330",2013,8,1103,"Streets & Transportation","Sidewalk Menu","ON E 90TH PL FROM Dead End (1387 E) TO S DANTE AV (1432 E)"
"2331",2013,8,1802,"Streets & Transportation","Sidewalk Menu","ON E 86TH ST FROM S STONY ISLAND AVE (1560 E) TO S EAST END AVE (1700 E)"
"2332",2013,8,2232,"Streets & Transportation","Sidewalk Menu","ON S CHAPPEL AVE FROM E 80TH ST (8000 S) TO E 81ST ST (8100 S)"
"2333",2013,8,23935,"Streets & Transportation","Sidewalk Menu","ON S EUCLID AVE FROM E 85 ST (8500 S) TO E 86 ST (8600 S)"
"2334",2013,8,4391,"Streets & Transportation","Sidewalk Menu","ON S DORCHESTER AVE FROM E 86 ST (8600 S) TO E 87 ST (8700 S)"
"2335",2013,8,23430,"Streets & Transportation","Street Resurfacing Menu","ON E 90TH ST FROM S BLACKSTONE AVE (1500 E) TO S HARPER AVE (1530 E)"
"2336",2013,8,2620,"Streets & Transportation","Street Resurfacing Menu","ON E 81ST ST FROM S HARPER AVE (1530 E) TO S STONY ISLAND AVE (1560 E)"
"2337",2013,8,47127,"Streets & Transportation","Street Resurfacing Menu","ON S CREGIER AVE FROM E 87 PL (8732 S) TO E 88 ST (8800 S)"
"2338",2013,8,58569,"Streets & Transportation","Street Resurfacing Menu","ON S WOODLAWN AVE FROM E 96 ST (9600 S) TO E 97 (N) ST(9656 S)"
"2339",2013,8,43240,"Streets & Transportation","Street Resurfacing Menu","ON S CRANDON AVE FROM E 88 ST (8800 S) TO E 89 ST (8900 S)"
"2340",2013,8,38045,"Streets & Transportation","Street Resurfacing Menu","ON S EAST END AVE FROM E 77 ST (7700 S) TO E 78 ST (7800 S)"
"2341",2013,8,69534,"Streets & Transportation","Street Resurfacing Menu","ON E 81ST ST FROM S DORCHESTER AV (1400 E) TO S BLACKSTONE AV (1500 E)"
"2342",2013,8,46106,"Streets & Transportation","Street Resurfacing Menu","ON S DORCHESTER AVE FROM E 84 ST (8400 S) TO E 85 ST (8500 S)"
"2343",2013,8,43511,"Streets & Transportation","Street Resurfacing Menu","ON S BLACKSTONE AVE FROM E 88 ST (8800 S) TO E 89 ST (8900 S)"
"2344",2013,8,7400,"Streets & Transportation","Street Speed Hump Menu","ON S CLYDE AVE FROM E 87TH ST (8700 S) TO E 89TH ST"
"2345",2013,8,128000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S EUCLID AVE FROM E 89 ST (8900 S) TO E 91 ST (9100 S)"
"2346",2013,8,72000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S KENWOOD AVE FROM E 87 ST (8700 S) TO E 88 ST (8800 S)"
"2347",2013,8,144000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S CORNELL AVE FROM E 89 ST (8900 S) TO E 91 ST (9100 S)"
"2348",2013,8,64000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON E 86TH PL FROM S BLACKSTONE AV (1504 E) TO S STONY ISLAND AV (1600 E)"
"2349",2013,8,64000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S BLACKSTONE AVE FROM E 86 ST (8600 S) TO E 87 ST (8700 S)"
"2350",2013,8,144000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON S PAXTON AVE FROM E 87 ST (8700 S) TO E 89 ST (8900 S)"
"2351",2013,8,64000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON E 86TH ST FROM S BLACKSTONE AV (1504 E) TO S STONY ISLAND AV (1600 E)"
"2352",2013,8,800,"Lighting","Street Light Upgrade","1333 E 75TH ST"
"2353",2013,8,400,"Lighting","Street Light Upgrade","9158 S CREGIER AVE"
"2354",2013,8,1400,"Lighting","Street Light Upgrade","ON S GREENWOOD AVE FROM E 95 ST (9500 S) TO E 96 ST (9600 S)"
"2355",2013,8,1400,"Lighting","Street Light Upgrade","ON S BLACKSTONE AVE FROM E 80 ST (8000 S) TO E 81 ST (8100 S)"
"2356",2013,8,1750,"Lighting","Street Light Upgrade","ON S EAST END AVE FROM E 90 ST (9000 S) TO E 91 ST (9100 S)"
"2357",2013,8,1400,"Lighting","Street Light Upgrade","ON CREGIER FROM E 89 ST (8900 S) TO E 89 ST (8900 S)"
"2358",2013,9,77738,"Streets & Transportation","Curb & Gutter Menu","ON W 101ST PL FROM S PRINCETON AV (300 W) TO Dead End (350 W)"
"2359",2013,9,11844,"Streets & Transportation","Curb & Gutter Menu","ON W 125TH PL FROM S EGGLESTON AVE (430 W) TO S PARNELL AVE (540 W)"
"2360",2013,9,0,"Streets & Transportation","Resurfacing Street Speed","ON S ST LAWRENCE AVE FROM E 111 ST (11100 S) TO E 115 ST (11500 S)"
"2361",2013,9,53085,"Streets & Transportation","Sidewalk Menu","ON S FORRESTVILLE AVE FROM E 113 ST (11300 S) TO E 114 ST (11400 S)"
"2362",2013,9,68356,"Streets & Transportation","Street Resurfacing Menu","ON E 100TH ST FROM S DR MARTIN LUTHER KING JR DR (400 E) TO S RHODES AVE (530 E)"
"2363",2013,9,20208,"Streets & Transportation","Street Resurfacing Menu","ON S INDIANA AVE FROM E 123 ST (12300 S) TO E 124 ST (12400 S)"
"2364",2013,9,26742,"Streets & Transportation","Street Resurfacing Menu","ON S RIVERDALE AVE FROM S EBERHART AV (13162 S) TO S RHODES AV (13225 S)"
"2365",2013,9,30457,"Streets & Transportation","Street Resurfacing Menu","ON S CALUMET AVE FROM E 117 ST (11704 S) TO E 118 ST (11800 S)"
"2366",2013,9,233127,"Streets & Transportation","Street Resurfacing Menu","ON S ST LAWRENCE AVE FROM E 111 ST (11100 S) TO E 115 ST (11500 S)"
"2367",2013,9,109370,"Streets & Transportation","Street Resurfacing Menu","ON E 100TH ST FROM S RHODES AVE (530 E) TO S COTTAGE GROVE AVE (700 E)"
"2368",2013,9,109275,"Streets & Transportation","Street Resurfacing Menu","ON W 121ST ST FROM S STATE ST (0 E) TO S WENTWORTH AV (200 W)"
"2369",2013,9,96950,"Streets & Transportation","Street Resurfacing Menu","ON S INDIANA AVE FROM E 111 ST (11100 S) TO E 113 ST (11300 S)"
"2370",2013,9,59471,"Streets & Transportation","Street Resurfacing Menu","ON S EGGLESTON AVE FROM W 128 PL (12832 S) TO W 129 PL (12932 S)"
"2371",2013,9,86929,"Streets & Transportation","Street Resurfacing Menu","ON S INDIANA AVE FROM E 113TH ST (11300 S) TO E 115TH ST (11500 S)"
"2372",2013,9,37054,"Streets & Transportation","Street Resurfacing Menu","ON S EBERHART AVE FROM E 103 ST (10300 S) TO E 104 ST (10400 S)"
"2373",2013,9,120949,"Streets & Transportation","Street Resurfacing Menu","ON S PARNELL AVE FROM W 127TH ST (12700 S) TO W 129TH PL (13000 S)"
"2374",2013,9,112504,"Streets & Transportation","Street Resurfacing Menu","ON S WALLACE ST FROM W 125TH ST (12500 S) TO W 127TH ST (12700 S)"
"2375",2013,9,20941,"Security Cameras","High Definition Camera","POD camera - 10700 S. Michigan (TPC = $22,500 - 2012 menu $1,559)"
"2376",2013,9,22500,"Security Cameras","High Definition Camera","POD Camera - 12500 S. Michigan"
"2377",2013,9,22500,"Security Cameras","High Definition Camera","10800 S. Langley"
"2378",2013,10,3500,"Streets & Transportation","Alley Speed Hump Menu","S AVENUE D & S AVENUE E & E 108TH ST & E 110TH ST"
"2379",2013,10,1400,"Streets & Transportation","Alley Speed Hump Menu","E 107TH ST & S AVENUE G&E 108TH ST & S AVENUE H"
"2380",2013,10,1400,"Streets & Transportation","Alley Speed Hump Menu","E 103RD ST & S AVENUE F&E 104TH ST & S AVENUE G"
